name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
雪崩,diableavionics_avalanche,,恶魔航电,diableavionics_berserk,,1500,200,500,,150,0,,160,175,100,50,100,55,NONE,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,7
暴雪,diableavionics_blizzaia,,恶魔航电,flarelauncher_active,,1600,150,500,,100,0,,155,150,75,50,75,70,NONE,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇士,diableavionics_valiant,,恶魔航电,diableavionics_transit,,800,75,1200,,200,0,,160,200,200,90,180,45,OMNI,,120,0.5,1,,,3,3,,,,,,,,,,,,,,,,,,,,9
渡鸦,diableavionics_raven,,恶魔航电,diableavionics_flicker,,2000,225,1250,,250,0,,120,120,80,50,50,75,NONE,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,10
风神,diableavionics_zephyr,,恶魔航电,diableavionics_splitter,,1500,175,750,,200,0,,165,240,150,75,150,65,NONE,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勇士,diableavionics_valiantTrainer,教练机,恶魔航电,diableavionics_transitTrainer,,800,75,1200,,200,0,,160,200,200,90,180,45,OMNI,,120,0.5,1,,,3,3,,,,,,,,,,,,,HIDE_IN_CODEX,restricted,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浸没,diableavionics_draft,护卫舰,恶魔航电,diableavionics_draftrepairs,4,3000,300,1500,,190,50,,120,90,60,60,60,275,NONE,,0,0,0,,,25,35,50,25,1,,10,8000,7,15,300,0.2,4,4,SHIP_WITH_MODULES,diable_ship_bp,,0.25,2,2,,13
弧状云,diableavionics_draftarmormodule,,,,,4000,600,0,,0,0,,400,400,400,200,400,125,NONE,,,0,0,,,,,,,,,,,,,,,0,0,HIDE_IN_CODEX,module_hull_bar_only,,,,,,4
蒸汽,diableavionics_vapor,护卫舰,恶魔航电,diableavionics_evasion,6,1500,200,3000,,225,50,,175,130,110,100,80,150,OMNI,,120,0.5,1,,,20,30,35,30,1,,10,15000,10,20,210,0.2,6,6,,"diable_ship_bp,rare_bp",,0.5,2,2,,14
冻雨,diableavionics_sleet,护卫舰,恶魔航电,diableavionics_capacitors,5,2000,250,3000,,150,50,,140,120,100,80,80,200,OMNI,,180,0.4,0.8,,,30,40,80,35,1,,10,13000,8,16,240,0.2,5,5,,"diable_ship_bp,rare_bp",,0.5,2,2,,14
剥夺,diableavionics_shear,拖船,恶魔航电,flarelauncher,2,450,125,750,,75,15,,135,100,100,60,30,160,FRONT,,50,0.4,1.1,,,5,5,0,10,5,,8,17000,10,30,180,0.2,5,5,CIVILIAN,diable_ship_bp,,0.3,2,2,,15
层流,diableavionics_laminar,采矿舰,恶魔航电,maneuveringjets,2,1500,225,2000,,150,15,,115,80,60,65,40,160,OMNI,,90,0.4,1.1,,,5,10,100,40,1,,10,15000,10,30,180,0.2,2,2,CIVILIAN,diable_ship_bp,,0.5,2,2,,16
斜坡,diableavionics_versant,混合万泽,恶魔航电,diableavionics_transit2,8,1750,275,3500,,350,45,,110,200,200,180,220,300,FRONT,,270,0.25,0.8,,,5,5,0,0,1,,10,36000,8,25,240,0.2,8,8,,rare_bp,0.5,0.75,2,2,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平静,diableavionics_calm,驱逐舰,恶魔航电,diableavionics_vortex,9,4750,575,4250,,325,80,0,85,55,44,40,30,450,OMNI,,75,0.4,1,,,50,80,80,50,2,,9,40000,6,14,360,0.15,9,9,,diable_ship_bp,,0.4,2,3,,19
海勒,diableavionics_hayle,驱逐舰,恶魔航电,diableavionics_flicker,11,4100,410,6250,,425,105,,90,100,55,55,35,325,OMNI,,90,0.35,1,,,40,70,50,60,2.5,,9,55000,5,16,300,0.15,11,11,,diable_ship_bp,,0.6,2,3,,20
雷暴,diableavionics_derecho,ECM 驱逐舰,恶魔航电,diableavionics_quantumimpulse,10,3000,375,5800,,450,65,,80,55,45,50,30,350,OMNI,,100,0.4,0.9,,,40,65,70,60,2.5,,9,60000,5,20,300,0.15,12,12,,diable_ship_bp,,0.6,2,3,,25
阵风,diableavionics_miniGust,武装航母,恶魔航电,diableavionics_assumeControl,10,4250,450,4500,,325,95,1,80,60,60,40,30,500,OMNI,,60,0.35,1,,,55,65,65,55,2.5,,9,50000,4,12,360,0.15,9,9,,diable_ship_bp,,0.5,2,3,,27
碎云,diableavionics_fractus,武装航母,恶魔航电,diableavionics_fastRefit,9,4200,400,3500,,125,70,2,45,35,25,20,10,550,OMNI,,120,0.4,1.1,,,50,80,50,35,2,,9,40000,5,15,360,0.15,11,11,CARRIER,diable_ship_bp,,0.4,2,3,,24
焚风,diableavionics_chinook,燃料输送舰,恶魔航电,flarelauncher_active,6,3000,400,2750,,175,50,,50,25,15,20,10,550,OMNI,,120,0.4,1.1,,,30,40,30,400,1.75,,9,20000,6,21,240,0.15,6,6,CIVILIAN,diable_ship_bp,,0.7,2,4,,21
层云,diableavionics_stratus,货舰,恶魔航电,flarelauncher_active,6,4000,350,2500,,150,40,,55,40,25,30,15,500,FRONT,,70,0.3,1.1,,,30,100,250,90,2,,9,25000,4,20,240,0.15,5,5,CIVILIAN,diable_ship_bp,,0.5,2,3,,22
层云 (P),diableavionics_stratus_p,武装商舰,恶魔航电,flarelauncher_active,6,5000,450,3500,,200,65,,65,50,30,30,15,500,FRONT,,70,0.3,1.1,,,40,80,175,90,2,,9,30000,4,20,300,0.15,5,5,,rare_bp,,0.5,2,3,,22
卷云,diableavionics_cirrus,人员运输舰,恶魔航电,flarelauncher_active,8,4250,400,1900,,115,40,1,45,30,25,25,10,500,FRONT,,70,0.3,1.1,,,40,280,60,100,2,,9,25000,4,20,240,0.15,6,6,"CIVILIAN, CARRIER",diable_ship_bp,,0.5,2,3,,23
贤者,diableavionics_virtuous_skirmisher,卓越万泽,恶魔航电,diableavionics_unlockedFlicker,14,4000,450,7500,,700,75,,85,60,50,90,120,500,FRONT,,225,0.25,0.8,,,30,30,0,0,3,,9,190000,7,21,300,0.2,25,25,"HIDE_IN_CODEX, UNBOARDABLE",restricted,,0.75,2,2,,17
缘流,diableavionics_coanda,前线驱逐舰,恶魔航电,diableavionics_damperwave,9,5500,700,4000,,350,100,,65,45,30,30,25,550,OMNI,,60,0.3,1,,,70,100,150,90,3,,9,45000,6,12,420,0.15,10,10,,diable_ship_bp,,0.25,2,3,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾风,diableavionics_gust,轻型巡洋舰,恶魔航电,diableavionics_assumeControl,14,7500,750,9500,,500,165,1,75,50,40,45,35,1500,OMNI,,60,0.35,1,,,145,230,120,120,3,,8,120000,4,16,480,0.1,20,20,,"diable_ship_bp,rare_bp",,0.5,2,3,,27
阴霾,diableavionics_haze,巡洋舰,恶魔航电,diableavionics_heavyflicker,15,10000,900,10750,,650,175,,65,45,40,35,25,1850,FRONT,,120,0.4,0.9,,,165,190,150,90,3,,8,130000,3,15,420,0.1,25,25,,"diable_ship_bp,rare_bp",,0.6,2,4,,28
暴风,diableavionics_storm,武装航母,恶魔航电,microburn,18,9000,900,9000,,450,120,2,55,30,20,20,15,1700,OMNI,,90,0.35,0.9,,,255,425,275,200,4,,8,135000,3,15,480,0.1,22,22,"CARRIER, COMBAT","diable_ship_bp,rare_bp",,0.5,2,4,,32
深渊,diableavionics_IBBgulf,Mod 巡洋舰,恶魔航电,diableavionics_fluxredirection,22,10000,1000,16000,,800,200,2,60,40,30,30,25,2175,OMNI,,90,0.45,1,,,205,275,150,50,3.5,,8,200000,4,16,480,0.1,30,30,HIDE_IN_CODEX,restricted,,0.6,2,3,,30
混乱,diableavionics_daze,巡洋舰,恶魔航电,diableavionics_fluxredirection,15,10000,1100,13000,,650,145,,50,25,20,17,15,1950,FRONT,,240,0.4,0.8,,,135,210,200,120,3,,8,125000,3,12,540,0.1,22,22,,"diable_ship_bp,rare_bp",,0.6,2,4,,28
雾凇 (F),diableavionics_rime,货舰,恶魔航电,diableavionics_capacitors,10,6000,600,5500,,250,70,1,55,20,15,15,7,1750,OMNI,,150,0.5,1.1,,,70,150,600,500,3.5,,8,60000,5,20,360,0.1,10,10,CIVILIAN,diable_ship_bp,,0.5,2,3,,29
雾凇 (P),diableavionics_rime_p,武装商舰,恶魔航电,microburn,10,6000,600,6000,,300,90,0,65,35,25,20,10,1750,OMNI,,150,0.5,1.1,,,70,150,400,150,3.5,,9,70000,5,20,420,0.1,14,14,,rare_bp,,0.5,2,3,,29
雾凇,diableavionics_rime_m,侦查巡洋舰,恶魔航电,diableavionics_capacitors,12,6000,600,6000,,300,110,2,75,35,25,20,10,1750,OMNI,,150,0.4,1,,,170,250,175,125,3.5,,9,90000,4,16,480,0.1,16,16,,diable_ship_bp,,0.5,2,3,,292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漩流,diableavionics_maelstrom,战列巡洋舰,恶魔航电,diableavionics_drift,26,13000,1100,18000,,1250,235,2,50,25,15,7,5,3250,FRONT,,90,0.4,1,,,430,550,325,300,10,,8,325000,2.5,15,660,0.075,40,40,,rare_bp,,0.6,2,4,,33
魔窟,diableavionics_pandemonium,无畏舰,恶魔航电,diableavionics_drift,35,20000,1300,22000,,1500,375,3,30,12,8,4,2,5050,FRONT,,90,0.5,1,,,550,750,550,400,11,,7,525000,2,25,720,0.075,70,70,,rare_bp,0.1,0.75,3,5,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATION STUFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轨道站,diableavionics_station_tier1,轨道站,恶魔航电,,100,40000,1600,1000,,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2002.1
作战基地,diableavionics_station_tier2,作战基地,恶魔航电,,200,80000,2000,1000,,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2003.5
星际要塞,diableavionics_station_tier3,星际要塞,恶魔航电,,400,160000,2400,1000,,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,,2004.
# tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,diableavionics_module_lightAttack,轻型火力平台,恶魔航电,forgevats_station,1,10000,1250,12000,,800,1000,,0,0,0,10,10,3500,NONE,,90,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,diableavionics_module_defense,防御平台,恶魔航电,forgevats_station,1,8000,1250,4000,,200,1000,,0,0,0,10,10,3500,NONE,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,diableavionics_module_fighter,战机支援平台,恶魔航电,forgevats_station,1,10000,1250,8000,,400,1000,3,0,0,0,10,10,2500,NONE,,100,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2069
# tier 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,diableavionics_module_attack,重型火力平台,恶魔航电,forgevats_station,1,10000,1250,10000,,1000,1000,,0,0,0,10,10,3500,NONE,,90,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2067
,diableavionics_module_missile,混合火力平台,恶魔航电,forgevats_station,1,15000,1250,16000,,600,1000,2,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
# tier 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,diableavionics_module_ecm,ECM 模块,恶魔航电,diableavionics_quantumimpulse,1,10000,1250,12000,,600,1000,0,0,0,0,10,10,2500,NONE,,100,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2069
,diableavionics_module_wanzer,万泽设施模块,恶魔航电,forgevats_station,1,15000,1250,16000,,600,1000,4,0,0,0,10,10,3500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2068
,diableavionics_module_tip,支援模块,恶魔航电,forgevats_station,1,7500,1250,9000,,300,1000,,0,0,0,10,10,240,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,,2070
深度打击舱,diableavionics_deepStrike,,,,,1000,100,50,,50,1000,2,50,10,50,10,5,125,NONE,,,2,2,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,,,,,4
